timestamp,action,ticker,shares,price,reason
2025-03-27T13:21:18.007379,SELL,RCG,1934.0,2.52,Stop-loss triggered
2025-03-27T13:38:25.627079,BUY,RCG,1925.9147,2.52,New Signal
2025-03-27T13:38:27.767515,BUY,EONR,8924.7978,0.5438,New Signal
2025-03-27T13:38:33.315703,SELL,BLNE,2319.0,2.07,Stop-loss triggered
2025-03-27T13:38:36.613140,SELL,MKZR,3038.0,1.6,Stop-loss triggered
2025-03-27T13:38:40.947016,SELL,RCG,1926.0,2.52,Stop-loss triggered
2025-03-27T13:56:13.751784,BUY,RCG,1911.8103,2.52,New Signal
2025-03-27T13:56:14.893292,BUY,BLNE,2294.1725,2.1,New Signal
2025-03-27T13:56:18.136859,BUY,MKZR,3011.1012,1.6,New Signal
2025-03-27T13:56:22.497497,SELL,BLNE,2294.0,2.1,Stop-loss triggered
2025-03-27T13:56:23.622483,SELL,EONR,8925.0,0.5352,Stop-loss triggered
2025-03-27T13:56:25.780643,SELL,MKZR,3011.0,1.6,Stop-loss triggered
2025-03-27T13:56:30.202719,SELL,RCG,1912.0,2.52,Stop-loss triggered
2025-03-27T14:06:22.935450,BUY,RCG,1900.0675,2.52,New Signal
2025-03-27T14:06:24.023393,BUY,BLNE,2335.6927,2.05,New Signal
2025-03-27T14:06:26.167169,BUY,EONR,8876.8449,0.5394,New Signal
2025-03-27T14:06:28.320745,BUY,MKZR,2992.6062,1.6,New Signal
2025-03-27T14:06:32.681515,SELL,BLNE,2336.0,2.05,Stop-loss triggered
2025-03-27T14:06:40.111858,SELL,RCG,1900.0,2.52,Stop-loss triggered
2025-03-27T14:49:27.167343,BUY,RCG,1889.8318,2.52,New Signal
2025-03-27T14:49:28.264880,BUY,BLNE,2334.4981,2.04,New Signal
2025-03-27T14:49:35.803546,SELL,EONR,8877.0,0.5292,Stop-loss triggered
2025-03-27T14:49:40.126382,SELL,PESI,625.0,8.12,Target hit
2025-03-27T14:49:42.339638,SELL,RCG,1890.0,2.52,Stop-loss triggered
2025-03-27T15:42:56.830161,BUY,RCG,1881.1724,2.52,New Signal
2025-03-27T15:42:58.973844,BUY,EONR,8816.3558,0.5377,New Signal
2025-03-27T15:43:03.427158,BUY,PESI,578.1164,8.2,New Signal
